,sms,spam/ham_spam
133,sunshin quiz wkli q win a top soni dvd player if u know which countri the algarv is in txt ansr to sp tyron,1
134,want get laid tonight want real dog locat sent direct ur mob join the uk s largest dog network bt txting gravel to nt ec a p msg p,1
135,i onli haf msn it s yiju hotmail com,0
136,he is there you call and meet him,0
137,no no i will check all room befor activ,0
138,you ll not rcv ani more msg from the chat svc for free hardcor servic text go to if u get noth u must age verifi with yr network tri again,1
139,got c i lazi to type i forgot in lect i saw a pouch but like not v nice,0
140,k text me when you re on the way,0
141,sir wait for your mail,0
142,a swt thought nver get tire of do littl thing lovabl person coz somtim those littl thing occupi d biggest part in their heart gud ni,0
143,i know you are can you pl open the back,0
144,ye see ya not on the dot,0
145,what the staff name who is take class for us,0
146,freemsg whi haven t you repli to my text i m randi sexi femal and live local luv to hear from u netcollex ltd p per msg repli stop to end,1
147,ummma will call after check in our life will begin from qatar so pl pray veri hard,0
148,k i delet my contact that whi,0
149,sindu got job in birla soft,0
150,the wine is flow and i m i have never,0
151,yup i thk cine is better co no need go down plaza mah,0
152,ok ur typic repli,0
153,you are everywher dirt on the floor the window even on my shirt and sometim when i open my mouth you are all that come flow out i dream of my world without you then half my chore are out too a time of joy for me lot of tv show i ll see but i guess like all thing you just must exist like rain hail and mist and when my time here is done you and i becom one,0
154,aaooooright are you at work,0
155,i m leav my hous now,0
156,hello my love what are you do did you get to that interview today are you you happi are you be a good boy do you think of me are you miss me,0
157,custom servic annonc you have a new year deliveri wait for you pleas call now to arrang deliveri,1
158,you are a winner u have been special select receiv cash or a holiday flight inc speak to a live oper claim,1
159,keep yourself safe for me becaus i need you and i miss you alreadi and i envi everyon that see s you in real life,0
160,new car and hous for my parent i have onli new job in hand,0
161,i m so in love with you i m excit each day i spend with you you make me so happi,0
162,pl stop bootydeli f is invit you to be her friend repli ye or no see her www sm ac u bootydeli stop send stop frnd to,1
163,bangbab ur order is on the way u should receiv a servic msg download ur content if u do not goto wap bangb tv on ur mobil internet servic menu,1
164,i place all ur point on e cultur modul alreadi,0
165,urgent we are tri to contact you last weekend draw show that you have won a prize guarante call claim code s valid hr onli,1
166,hi frnd which is best way to avoid missunderstd wit our belov one s,0
167,great escap i fanci the bridg but need her lager see you tomo,0
168,ye it complet in out of form clark also utter wast,0
169,sir i need axi bank account no and bank address,0
170,hmmm thk sure got time to hop ard ya can go free abt muz call u to discuss liao,0
171,what time you come down later,0
172,bloodi hell cant believ you forgot my surnam mr ill give u a clue it spanish and begin with m,0
173,well i m gonna finish my bath now have a good fine night,0
174,let me know when you ve got the money so carlo can make the call,0
175,u still go to the mall,0
176,turn out my friend are stay for the whole show and won t be back til lt gt so feel free to go ahead and smoke that lt gt worth,0
177,text her if she doesnt repli let me know so i can have her log in,0
178,hi you just spoke to maneesha v we d like to know if you were satisfi with the experi repli toll free with ye or no,0
179,you lift my hope with the offer of money i am in need especi when the end of the month approach and it hurt my studi anyway have a gr weekend,0
180,lol no u can trust me,0
181,ok i am a gentleman and will treat you with digniti and respect,0
182,he will you guy close,0
183,go on noth great bye,0
184,hello handsom are you find that job not be lazi work toward get back that net for mummi where s my boytoy now doe he miss me,0
185,haha awesom be there in a minut,0
186,pleas call our custom servic repres on freephon between am pm as you have won a guarante cash or prize,1
187,have you got xma radio time if not i will get it now,0
188,i ju reach home i go bath first but my si use net tell u when she finish k,0
189,are you uniqu enough find out from th august www areyouuniqu co uk,1
190,i m sorri i ve join the leagu of peopl that dont keep in touch you mean a great deal to me you have been a friend at all time even at great person cost do have a great week,0
191,hi final i complet the cours,0
192,it will stop on itself i howev suggest she stay with someon that will be abl to give or for everi stool,0
193,how are you do hope you ve settl in for the new school year just wishin you a gr day,0
194,gud mrng dear hav a nice day,0
195,did u got that person stori,0
196,is your hamster dead hey so tmr i meet you at pm orchard mrt,0
197,hi it kate how is your even i hope i can see you tomorrow for a bit but i have to bloodi babyjontet txt back if u can xxx,0
198,found it enc lt gt where you at,0
199,i sent you lt gt buck,0
200,hello darlin ive finish colleg now so txt me when u finish if u can love kate xxx,0
201,your account ha been refil success by inr lt decim gt your keralacircl prepaid account balanc is rs lt decim gt your transact id is kr lt gt,0
202,goodmorn sleep ga,0
203,u call me alter at ok,0
204,say until like dat i dun buy ericsson oso cannot oredi lar,0
205,aight yo dat straight dogg,0
206,you pleas give us connect today itself befor lt decim gt or refund the bill,0
207,both i shoot big load so get readi,0
208,what s up bruv hope you had a great break do have a reward semest,0
209,home so we can alway chat,0
210,k k good studi well,0
211,yup how noe leh,0
212,sound great are you home now,0
213,final the match head toward draw as your predict,0
214,tire i haven t slept well the past few night,0
215,easi ah sen got select mean it good,0
216,i have to take exam with march,0
217,yeah you should i think you can use your gt atm now to regist not sure but if there s anyway i can help let me know but when you do be sure you are readi,0
218,ok no prob take ur time,0
219,there is os call ubandu which will run without instal in hard disk you can use that os to copi the import file in system and give it to repair shop,0
220,u say leh of cours noth happen lar not say v romant ju a bit onli lor i thk e nite sceneri not so nice leh,0
221,new mobil from must go txt nokia to no collect your today from onli www tc biz optout gbp mtmsg,1
222,would realli appreci if you call me just need someon to talk to,0
223,will u meet ur dream partner soon is ur career off a flyng start find out free txt horo follow by ur star sign e g horo ari,1
224,hey compani elama po mudyadhu,0
225,life is more strict than teacher bcoz teacher teach lesson amp then conduct exam but life first conduct exam amp then teach lesson happi morn,0
226,dear good morn now onli i am up,0
227,get down in gandhipuram and walk to cross cut road right side lt gt street road and turn at first right,0
228,dear we are go to our rubber place,0
229,sorri batteri die yeah i m here,0
230,ye here tv is alway avail in work place,0
231,text meet someon sexi today u can find a date or even flirt it up to u join just p repli with name age eg sam msg recd thirtyeight penc,1
232,i have print it oh so lt gt come upstair,0
233,or ill be a littl closer like at the bu stop on the same street,0
234,where are you when wil you reach here,0
235,new theori argument win d situat but lose the person so dont argu with ur friend just kick them amp say i m alway correct,0
236,u have a secret admir who is look make contact with u find out who they r reveal who think ur so special call on,1
237,tomarrow final hear on my laptop case so i cant,0
238,pleassssssseeeee tel me v avent done sportsx,0
239,okay no no just shine on that wa meant to be sign but that sound better,0
240,although i told u dat i m into baig face watch now but i realli like e watch u gave co it s fr u thanx everyth dat u ve done today i m touch,0
241,u don t rememb that old commerci,0
242,too late i said i have the websit i didn t i have or dont have the slipper,0
243,i ask you to call him now ok,0
244,kalli wont bat in nd inning,0
245,it didnt work again oh ok goodnight then i ll fix and have it readi by the time you wake up you are veri dearli miss have a good night sleep,0
246,congratul ur award of cd voucher or gift guarante free entri wkli draw txt music to tnc www ldew com win ppmx age,1
247,ranjith cal drpd deeraj and deepak min hold,0
248,wen ur lovabl bcum angri wid u dnt take it serious coz be angri is d most childish n true way of show deep affect care n luv kettoda manda have nice day da,0
249,what you do how are you,0
250,up which is day also and the ship compani that take wk the other way is usp which take a week but when it get to lag you may have to bribe nipost to get your stuff,0
251,i m back lemm know when you re readi,0
252,don t necessarili expect it to be done befor you get back though becaus i m just now headin out,0
253,mmm so yummi babe nice jolt to the suzi,0
254,where are you lover i need you,0
255,we tri to contact you re your repli to our offer of a video handset anytim network min unlimit text camcord repli or call now,1
256,i m park next to a mini when are you come in today do you think,0
257,yup,0
258,anyway i m go shop on my own now co my si not done yet dun disturb u liao,0
259,my no in luton ring me if ur around h,0
260,hey i am realli horni want to chat or see me nake text hot to text charg at pm to unsubscrib text stop,1
261,whi you dint come with us,0
262,same wana plan a trip sometm then,0
263,not sure yet still tri to get a hold of him,0
264,ur rington servic ha chang free credit go to club mobil com to choos content now stop txt club stop to p wk club po box mk wt,1
265,the evo i just had to download flash jealou,0
266,rington club get the uk singl chart on your mobil each week and choos ani top qualiti rington thi messag is free of charg,1
267,come to mu we re sort out our narcot situat,0
268,night ha end for anoth day morn ha come in a special way may you smile like the sunni ray and leav your worri at the blue blue bay,0
269,hmv bonu special pound of genuin hmv voucher to be won just answer easi question play now send hmv to more info www percent real com,1
270,usf i guess might as well take car,0
271,no object my bf not come,0
272,thanx,0
273,tell rob to mack hi gf in the theater,0
274,awesom i ll see you in a bit,0
275,just sent it so what type of food do you like,0
276,all done all hand in celebr in full swing yet,0
277,you got call a tool,0
278,wen u miss someon the person is definit special for u but if the person is so special whi to miss them just keep in touch gdeve,0
279,ok i ask for money how far,0
280,oki,0
281,yeah i think my usual guy s still pass out from last night if you get ahold of anybodi let me know and i ll throw down,0
282,k i might come by tonight then if my class let out earli,0
283,ok,0
284,hi babi im cruisin with my girl friend what r u up give me a call in and hour at home if that alright or fone me on thi fone now love jenni xxx,0
285,my life mean a lot to me not becaus i love my life but becaus i love the peopl in my life the world call them friend i call them my world ge,0
286,dear shall mail tonit busi in the street shall updat you tonit thing are look ok varunnathu edukkukaye raksha ollu but a good one in real sens,0
287,hey you told your name to gautham ah,0
288,haf u found him i feel so stupid da v cam wa work,0
289,oop got that bit,0
290,are you thi much buzi,0
291,i accident delet the messag resend pleas,0
292,t mobil custom you may now claim your free camera phone upgrad a pay go sim card for your loyalti call on offer end thfeb t c s appli,1
293,unless it s a situat where you go gurl would be more appropri,0
294,hurt me teas me make me cri but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u have a nice day bslvyl,0
295,i cant pick the phone right now pl send a messag,0
296,need a coffe run tomo can t believ it s that time of week alreadi,0
297,awesom i rememb the last time we got somebodi high for the first time with diesel v,0
298,shit that is realli shock and scari cant imagin for a second def up for night out do u think there is somewher i could crash for night save on taxi,0
299,oh and by the way you do have more food in your fridg want to go out for a meal tonight,0
300,he is a womdarful actor,0
301,sm ac blind date u rodd is m from aberdeen unit kingdom check him out http img sm ac w icmb cktz r no blind date send hide,1
302,yup from what i remb i think should be can book,0
303,jo ask if u wana meet up,0
304,lol ye our friendship is hang on a thread caus u won t buy stuff,0
305,themob check out our newest select of content game tone gossip babe and sport keep your mobil fit and funki text wap to,1
306,where are the garag key they aren t on the bookshelf,0
307,today is accept day u accept me as brother sister lover dear best clo lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rpli mean enemi,0
308,think ur smart win thi week in our weekli quiz text play to now t cs winnersclub po box m uz gbp week,1
309,he say he ll give me a call when hi friend s got the money but that he s definit buy befor the end of the week,0
310,hi the way i wa with u day is the normal way thi is the real me ur uniqu i hope i know u the rest of mylif hope u find wot wa lost,0
311,you made my day do have a great day too,0
312,k k advanc happi pongal,0
313,hmmm guess we can go kb n power yoga haha dunno we can tahan power yoga anot thk got lo oso forgot liao,0
314,not realli dude have no friend i m afraid,0
315,decemb onli had your mobil mth you are entitl to updat to the latest colour camera mobil for free call the mobil updat co free on,1
316,coffe cake i guess,0
317,merri christma to you too babe i love ya kiss,0
318,hey whi dont we just go watch x men and have lunch haha,0
319,cud u tell ppl im gona b a bit l co buse hav gon past co they were full im still waitin pete x,0
320,that would be great we ll be at the guild could meet on bristol road or somewher will get in touch over weekend our plan take flight have a good week,0
321,no problem how are you do,0
322,hi da how is the today class,0
323,i d say that s a good sign but well you know my track record at read women,0
324,cool text me when you re park,0
325,i m read the text i just sent you it meant to be a joke so read it in that light,0
326,k k apo k good movi,0
327,mayb i could get book out tomo then return it immedi or someth,0
328,call germani for onli penc per minut call from a fix line via access number no prepay direct access,1
329,ani chanc you might have had with me evapor as soon as you violat my privaci by steal my phone number from your employ s paperwork not cool at all pleas do not contact me again or i will report you to your supervisor,0
330,valentin day special win over in our quiz and take your partner on the trip of a lifetim send go to now p msg rcvd custcar,1
331,ta daaaaa i am home babe are you still up,0
332,cool so how come you havent been wine and dine befor,0
333,just sleep and surf,0
334,u call me right call my hand phone,0
335,ok that s great thanx a lot,0
336,i take it the post ha come then you must have s of text now happi read my one from wiv hello carolin at the end is my favourit bless him,0
337,where u been hide stranger,0
338,am not interest to do like that,0
339,my sister clear two round in birla soft yesterday,0
340,gudnit tc practic go on,0
341,di is yiju i ju saw ur mail in case huim havent sent u my num di is my num,0
342,one small prestig problem now,0
343,fanci a shag i do interest sextextuk com txt xxuk suzi to txt cost per msg tnc on websit x,1
344,just check in on you realli do miss see jeremiah do have a great month,0
345,nah can t help you there i ve never had an iphon,0
346,if you re not in my car in an hour and a half i m go apeshit,0
347,today is sorri day if ever i wa angri with you if ever i misbehav or hurt you plz plz just slap urself bcoz it ur fault i m basic good,0
348,yo you guy ever figur out how much we need for alcohol jay and i are tri to figur out how much we can safe spend on weed,0
349,lt gt ish minut wa minut ago wtf,0
350,thank you for call forgot to say happi onam to you sirji i am fine here and rememb you when i met an insur person meet you in qatar insha allah rakhesh ex tata aig who join tissco tayseer,0
351,ur cash balanc is current pound to maxim ur cash in now send cash to onli p msg cc hg suit land row w j hl,1
352,i m an actor when i work i work in the even and sleep late sinc i m unemploy at the moment i alway sleep late when you re unemploy everi day is saturday,0
353,hello just got here st andrew boy it a long way it cold i will keep you post,0
354,ha ha cool cool chikku chikku db,0
355,oh ok no prob,0
356,check audrey s statu right now,0
357,busi here tri to finish for new year i am look forward to final meet you,0
358,good afternoon sunshin how dawn that day are we refresh and happi to be aliv do we breath in the air and smile i think of you my love as alway,0
359,well i know z will take care of me so no worri,0
360,updat now xma offer latest motorola sonyericsson nokia free bluetooth doubl min txt on orang call mobileupd on or call optout f q,1
361,here is your discount code rp to stop further messag repli stop www regalportfolio co uk custom servic,1
362,wat uniform in where get,0
363,cool text me when you re readi,0
364,hello my boytoy geeee i miss you alreadi and i just woke up i wish you were here in bed with me cuddl me i love you,0
365,i will spoil you in bed as well,0
366,i m go for bath will msg you next lt gt min,0
367,i cant keep talk to peopl if am not sure i can pay them if they agre to price so pl tell me what you want to realli buy and how much you are will to pay,0
368,thank for your rington order refer t you will be charg gbp per week you can unsubscrib at anytim by call custom servic on,1
369,can you say what happen,0
370,you could have seen me i did t recognis you face,0
371,well there s not a lot of thing happen in lindsay on new year sigh some bar in ptbo and the blue heron ha someth go,0
372,keep my payasam there if rinu bring,0
373,i taught that ranjith sir call me so onli i sm like that becau he verifi about project prabu told today so onli pa dont mistak me,0
374,i guess that s whi you re worri you must know that there s a way the bodi repair itself and i m quit sure you shouldn t worri we ll take it slow first the test they will guid when your ovul is then just relax noth you ve said is a reason to worri but i ll keep on followin you up,0
375,yeah sure give me a coupl minut to track down my wallet,0
376,hey leav it not a big deal take care,0
377,hey i will be late ah meet you at,0
378,doubl min and txt month free bluetooth on orang avail on soni nokia motorola phone call mobileupd on or call optout n dx,1
379,it took mr owl lick,0
380,custom place i will call you,0
381,mm that time you dont like fun,0
382,mth half price orang line rental latest camera phone free had your phone mth call mobilesdirect free on to updat now or stoptxt,1
383,yup have my lunch buffet now u eat alreadi,0
384,huh so late fr dinner,0
385,hey so thi sat are we go for the intro pilat onli or the kickbox too,0
386,morn onli i can ok,0
387,ye i think so i am in offic but my lap is in room i think that on for the last few day i didnt shut that down,0
388,pick you up bout ish what time are and that go,0
389,from here after the perform award is calcul everi two month not for current one month period,0
390,wa actual sleep and still might when u call back so a text is gr you rock si will send u a text wen i wake,0
391,you are alway put your busi out there you put pictur of your ass on facebook you are one of the most open peopl i ve ever met whi would i think a pictur of your room would hurt you make you feel violat,0
392,good even sir al salam wahleykkum share a happi news by the grace of god i got an offer from tayseer tissco and i join hope you are fine inshah allah meet you sometim rakhesh visitor from india,0
393,hmmm k but i want to chang the field quickli da i wanna get system administr or network administr,0
394,free rington text first to for a poli or text get to for a true tone help after st free tone are x pw to e nd txt stop,1
395,dear how is chechi did you talk to her,0
396,the hair cream ha not been ship,0
397,none of that s happen til you get here though,0
398,yep the great loxahatche xma tree burn of lt gt start in an hour,0
399,haha get use to drive to usf man i know a lot of stoner,0
400,all wa well until slightli disastr class thi pm with my fav darl hope day off ok coffe wld be good as can t stay late tomorrow same time place as alway,0
401,hello good week fanci a drink or someth later,0
402,headin toward busetop,0
403,messag some text miss sender name miss number miss sent date miss miss u a lot that y everyth is miss sent via fullonsm com,0
404,come by our room at some point so we can iron out the plan for thi weekend,0
405,co i want it to be your thing,0
406,oki i ll go yan jiu too we can skip ard oso go cine den go mrt one blah blah blah,0
407,bring home some wendi d,0
408,date servic cal l box sk ch,1
409,whatsup there dont u want to sleep,0
410,alright i have a new goal now,0
411,free entri into our weekli competit just text the word win to now t c www txttowin co uk,1
412,alright i ll head out in a few minut text me where to meet you,0
413,send a logo ur lover name join by a heart txt love name name mobno eg love adam eve to yahoo pobox w wq txtno no ad p,1
414,ye from last week itself i m take live call,0
415,someon ha contact our date servic and enter your phone becaus they fanci you to find out who it is call from a landlin pobox n tf p,1
416,siva is in hostel aha,0
417,urgent your mobil number ha been award with a prize guarante call from land line claim valid hr onli,1
418,send thi to ur friend and receiv someth about ur voic how is my speak express childish naughti sentiment rowdi ful of attitud romant shi attract funni lt gt irrit lt gt lovabl repli me,0
419,ok she ll be ok i guess,0
420,aathi where are you dear,0
421,ani pain on urin ani thing els,0
422,at esplanad do mind give me a lift co i got no car today,0
423,i wnt to buy a bmw car urgent it vri urgent but hv a shortag of lt gt lac there is no sourc to arng di amt lt gt lac that my prob,0
424,at home watch tv lor,0
425,doe she usual take fifteen fuck minut to respond to a ye or no question,0
426,congrat nokia video camera phone is your call call cost ppm ave call min vari from mobil close post bcm ldn wc n xx,1
427,book ticket for pongal,0
428,you avail now i m like right around hillsborough amp lt gt th,0
429,the messag sent is askin for lt gt dollar shoul i pay lt gt or lt gt,0
430,ask g or iouri i ve told the stori like ten time alreadi,0
431,how long doe applebe fuck take,0
432,hi hope u get thi txt journey hasnt been gd now about min late i think,0
433,but i have to i like to have love and arrang,0
434,ye he is realli great bhaji told kalli best cricket after sachin in world veri tough to get out,0
435,you were suppos to wake me up gt,0
436,oic i saw him too but i tot he din c me i found a group liao,0
437,hey hey wereth monkeespeopl say we monkeyaround howdi gorgeou howu doin foundurself a jobyet sausag love jen xxx,0
438,sorri my batteri die i can come by but i m onli get a gram for now where s your place,0
439,well done blimey exercis yeah i kinda rememb wot that is hmm,0
440,i wont get concentr dear you know you are my mind and everyth,0
441,lol have you made plan for new year,0
442,min later k,0
443,hank lotsli,0
444,thank for thi hope you had a good day today,0
445,k k what are detail you want to transfer acc no enough,0
446,ok i will tell her to stay out yeah it been tough but we are optimist thing will improv thi month,0
447,loan for ani purpos homeown tenant welcom have you been previous refus we can still help call free or text back help,1
448,si si i think ill go make those oreo truffl,0
449,look at ami ure a beauti intellig woman and i like u a lot i know u don t like me like that so don t worri,0
450,i hope you that s the result of be consist intellig and kind start ask him about practicum link and keep your ear open and all the best ttyl,0
451,that call cost which i guess isnt bad miss ya need ya want ya love ya,0
452,go thru a veri differ feel waver decis and cope up with the same is the same individu time will heal everyth i believ,0
453,where did u go my phone is gonna die you have to stay in here,0
454,great never been better each day give even more reason to thank god,0
455,upgrdcentr orang custom you may now claim your free camera phone upgrad for your loyalti call now on offer end th juli t c s appli opt out avail,1
456,sorri i ll call later ok bye,0
457,ok i am on the way to railway,0
458,great princess i love give and receiv oral doggi style is my fave posit how about you i enjoy make love lt gt time per night,0
459,they don t put that stuff on the road to keep it from get slipperi over there,0
460,when are you go to ride your bike,0
461,yup no need i ll ju wait e rain stop,0
462,there are mani compani tell me the languag,0
463,okmail dear dave thi is your final notic to collect your tenerif holiday or cash award call from landlin tc sae box cw wx ppm,1
464,how long ha it been sinc you scream princess,0
465,noth i meant that onc the money enter your account here the bank will remov it flat rate someon transfer lt gt to my account and lt gt dollar got remov so the bank differ and charg also differ be sure you trust the ja person you are send account detail to co,0
466,want get laid tonight want real dog locat sent direct ur mob join the uk s largest dog network by txting moan to nyt ec a p msg p,1
467,nice line said by a broken heart plz don t cum more time infront of me other wise onc again i ll trust u good t,0
468,ok i m gonna head up to usf in like fifteen minut,0
469,love you aathi love u lot,0
